etapa,plazo,hora
"Publicaci6n del llamado a licitaci6n","1° hito",""
"Adquisici6n de bases","Diez [10] dias habiles desde la publicaci6n del llamado a licitaci6n","9:00 a 14:00 horas"
"Consultas sobre las bases","Quince [15] dias habiles contados desde el vencimiento del plazo de adquisici6n de bases",""
"Respuesta a las consultas","Veinticinco [25] dias habiles contados desde el vencimiento del plazo para hacer consultas a las bases",""
"Presentaci6n de ofertas","Entre el trigesimo quinto [35°] dia habil y hasta el cuadragesimo [40] dia habil contado desde el vencimiento del plazo para responder las consultas","9:00 a 14:00 horas"
"Publicaci6n del registro de Oferentes","Con posterioridad al vencimiento del plazo para la presentaci6n de las ofertas y antes de la apertura de las ofertas tecnicas",""
"Apertura de las ofertas tecnicas","Dia habil siguiente al vencimiento del plazo para la presentaci6n delas ofertas","Desde las 10:00 hasta las 18:00 horas"
"Evaluaci6n de admisibilidad","Quince [15] dias habiles contados desde la publicaci6n, en el sitio web, del acta de apertura de las ofertas tecnicas",""
"Evaluaci6n tecnica","Treinta [30] dfas habiles contados desde la publicaci6n, en el sitio web, del acta de evaluaci6n de admisibilidad",""
"Apertura de ofertas econ6micas","Dia habil siguiente a la fecha de publicaci6n, en el sitio web, del acta de evaluaci6n tecnica","Desde las 10:00 hasta las 18:00 horas"
"Evaluaci6n econ6mica y evaluaci6n final","Hasta cinco [5] dfas habiles contados desde la fecha de publicaci6n, en el sitio web, del acta de apertura de las ofertas econ6micas",""
"Dictaci6n de Resoluci6n de Adjudicaci6n","Hasta diez [10] dias habiles contados desde la fecha de publicaci6n, en el sitio web, del acta de evaluaci6n econ6mica y evaluaci6n final",""
